[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.4298016}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.3701984}]
[{'time': '2023-06-07T12:49:20Z', 'mean': -0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 1497.8813}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 2485.5995}, {'time': '2023-06-07T12:49:30Z', 'mean': -0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 233.623724}, {'time': '2023-06-07T12:49:30Z', 'mean': 662.225022}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 238.107157}, {'time': '2023-06-07T12:49:30Z', 'mean': 238.07422}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 164.710355}, {'time': '2023-06-07T12:49:30Z', 'mean': 153.569488}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 20.392264}, {'time': '2023-06-07T12:49:30Z', 'mean': 19.830172}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 0.0}, {'time': '2023-06-07T12:49:30Z', 'mean': 0.0}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 62.828149}, {'time': '2023-06-07T12:49:30Z', 'mean': 43.771228}]
[{'time': '2023-06-07T12:49:20Z', 'mean': 46.519879}, {'time': '2023-06-07T12:49:30Z', 'mean': 26.883741}]
